"A 행정구역(시군구)별",M202004 2020. 04,M202004 2020. 04,M202004 2020. 04,M202005 2020. 05,M202005 2020. 05,M202005 2020. 05,M202006 2020. 06,M202006 2020. 06,M202006 2020. 06
"A 행정구역(시군구)별",T20 총인구수 (14STD04553 명),T21 남자인구수 (14STD04553 명),T22 여자인구수 (14STD04553 명),T20 총인구수 (14STD04553 명),T21 남자인구수 (14STD04553 명),T22 여자인구수 (14STD04553 명),T20 총인구수 (14STD04553 명),T21 남자인구수 (14STD04553 명),T22 여자인구수 (14STD04553 명)
"45710 완주군",91976,47244,44732,91835,47142,44693,91841,47126,44715
"45720 진안군",25548,12888,12660,25514,12877,12637,25509,12876,12633
"45730 무주군",24127,11995,12132,24089,11976,12113,24042,11952,12090
"45740 장수군",22277,11103,11174,22230,11078,11152,22240,11073,11167
"45750 임실군",27895,14219,13676,27807,14184,13623,27783,14175,13608
"45770 순창군",28124,13648,14476,28040,13613,14427,28018,13605,14413
"45790 고창군",55021,27155,27866,54950,27135,27815,54858,27076,27782
"45800 부안군",52692,26157,26535,52624,26132,26492,52585,26110,26475
"46 전라남도",1857083,932970,924113,1855945,932496,923449,1854618,931898,922720
"46110 목포시",228916,114140,114776,228587,113977,114610,228231,113829,114402
"46130 여수시",281604,143493,138111,281250,143364,137886,281121,143298,137823
"46150 순천시",281349,140348,141001,280795,140159,140636,281054,140303,140751
"46170 나주시",114380,57620,56760,114469,57643,56826,114448,57642,56806
"46230 광양시",151751,79031,72720,152576,79442,73134,152016,79189,72827
"46710 담양군",46122,23501,22621,46077,23463,22614,46045,23431,22614
"46720 곡성군",28455,13892,14563,28386,13864,14522,28340,13836,14504
"46730 구례군",25895,12587,13308,25851,12551,13300,25826,12523,13303
"46770 고흥군",64407,31244,33163,64336,31220,33116,64336,31214,33122
"46780 보성군",41135,19944,21191,41016,19883,21133,40939,19855,21084
"46790 화순군",62510,30920,31590,62554,30939,31615,62654,30997,31657
"46800 장흥군",38225,18568,19657,38146,18526,19620,38071,18482,19589
"46810 강진군",35054,16886,18168,34977,16854,18123,34913,16851,18062
"46820 해남군",69649,34381,35268,69588,34339,35249,69465,34269,35196
"46830 영암군",54229,27860,26369,54224,27886,26338,54266,27892,26374
"46840 무안군",81412,40860,40552,81565,40920,40645,81620,40940,40680
"46860 함평군",32519,16239,16280,32433,16211,16222,32360,16181,16179
"46870 영광군",53539,26693,26846,53512,26687,26825,53475,26665,26810
"46880 장성군",45325,23342,21983,45222,23265,21957,45203,23250,21953
"46890 완도군",50351,25319,25032,50245,25267,24978,50192,25246,24946
"46900 진도군",30511,14998,15513,30494,14988,15506,30461,14972,15489
"46910 신안군",39745,21104,18641,39642,21048,18594,39582,21033,18549
"47 경상북도",2651054,1334981,1316073,2648760,1333815,1314945,2646493,1332780,1313713
"47110 포항시",505209,255341,249868,504829,255144,249685,504461,254995,249466
"47111 남구",232620,119825,112795,232216,119635,112581,231837,119491,112346
"47113 북구",272589,135516,137073,272613,135509,137104,272624,135504,137120
"47130 경주시",254225,127374,126851,254035,127240,126795,253758,127101,126657
"47150 김천시",140418,70365,70053,140384,70371,70013,140651,70596,70055
"47170 안동시",159035,78720,80315,158820,78605,80215,158526,78470,80056
"47190 구미시",418205,214528,203677,418007,214442,203565,417480,214220,203260
"47210 영주시",104418,51767,52651,104236,51666,52570,104003,51573,52430
"47230 영천시",101828,51771,50057,101758,51745,50013,101601,51636,49965
"47250 상주시",98644,48383,50261,98435,48286,50149,98201,48175,50026
"47280 문경시",71382,34989,36393,71282,34927,36355,71683,35101,36582
"47290 경산시",263375,132633,130742,263286,132603,130683,263034,132471,130563
"47720 군위군",23534,12018,11516,23477,11983,11494,23451,11971,11480
"47730 의성군",52236,25606,26630,52148,25545,26603,52142,25518,26624
"47750 청송군",25291,12636,12655,25264,12631,12633,25228,12616,12612
"47760 영양군",16844,8317,8527,16786,8295,8491,16748,8277,8471
