사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
2020-06,2호선,48,합정,127,0,"8,012","3,208","17,177","14,659","42,849","34,036","54,729","95,813","34,795","71,017","24,198","41,636","24,168","36,783","28,106","39,451","31,460","45,662","33,373","42,137","35,789","41,023","42,674","47,207","63,955","63,368","109,255","99,509","65,784","72,088","51,297","36,828","59,295","29,044","58,122","25,352","24,926","19,295",24,"1,172",0,0,0,0,0,0,2020-07-03 13:43:21
2020-06,2호선,49,홍대입구,488,4,"15,829","3,808","23,002","15,246","58,623","32,475","71,898","96,304","45,819","105,221","33,203","66,506","37,923","67,354","44,340","79,107","53,283","93,364","55,790","88,778","65,500","89,966","81,695","93,607","105,296","114,935","141,135","160,272","105,841","117,590","98,092","61,013","116,964","45,558","118,797","38,481","48,460","30,016",253,"5,252",0,0,0,0,0,0,2020-07-03 13:43:21
2020-06,2호선,50,신촌,60,3,"6,585","2,652","12,503","14,394","32,808","35,885","44,827","76,495","30,682","90,440","28,447","54,014","33,398","47,048","40,913","51,404","43,187","57,661","44,087","50,322","50,886","46,772","61,550","47,026","79,349","62,501","84,767","93,700","57,254","65,659","58,517","32,529","63,869","26,693","64,363","23,445","22,962","17,694",9,99,1,1,0,0,0,0,2020-07-03 13:43:21
2020-06,2호선,51,이대,51,1,"2,720","1,668","6,670","12,151","18,568","11,339","24,162","32,253","13,969","30,009","10,078","19,074","11,628","15,614","16,767","17,829","17,079","19,856","15,213","17,185","17,805","15,398","25,449","15,899","33,869","19,519","30,023","28,600","18,661","21,632","15,717","12,281","15,084","11,091","12,845","11,011","3,848","8,493",5,68,1,0,0,0,0,0,2020-07-03 13:43:21
2020-06,2호선,52,아현,24,1,"4,498","1,188","10,349","7,267","25,975","13,103","33,337","22,734","19,456","11,588","13,469","9,123","12,237","8,879","12,559","9,737","12,318","10,694","13,962","11,042","17,208","12,004","17,584","13,424","18,890","18,992","19,347","27,467","10,832","22,442","7,815","13,864","6,212","13,248","4,280","12,844","1,615","8,125",2,4,0,0,1,3,0,0,2020-07-03 13:43:21
2020-06,2호선,53,충정로(경기대입구),16,2,"3,221",850,"6,563","5,558","15,571","21,217","20,526","57,683","13,218","29,355","9,405","11,905","9,956","9,836","10,073","9,091","10,838","10,961","11,549","9,806","12,263","10,169","14,827","11,183","24,463","14,448","48,650","21,150","16,107","14,980","10,008","9,496","9,692","9,372","7,333","8,522","2,526","6,032",3,134,0,1,0,0,0,0,2020-07-03 13:43:21
2020-06,2호선,54,용답,30,0,"2,282",248,"3,080",863,"7,559","1,842","12,349","3,074","5,519","1,576","3,543","1,755","3,186","2,131","3,282","2,350","3,519","2,518","3,239","2,695","3,113","3,530","3,496","4,927","3,892","5,354","3,489","9,816","2,116","6,868","1,512","4,009","1,236","4,534",992,"4,408",429,"3,088",0,2,0,0,0,0,0,0,2020-07-03 13:43:21
2020-06,2호선,55,신답,1,0,"1,079",99,"1,891",671,"6,379",911,"9,530","2,023","3,855",926,"1,945",880,"1,708",992,"1,621","1,186","1,595","1,376","1,401","1,530","1,477","2,043","1,529","2,761","1,869","3,891","2,243","9,098",989,"6,897",721,"2,915",538,"3,182",508,"2,502",156,"1,863",0,22,0,0,0,0,0,0,2020-07-03 13:43:21
2020-06,2호선,56,신설동,18,0,"1,107",502,"1,232","2,173","2,952","4,992","5,587","12,962","3,840","8,446","3,726","5,829","4,694","5,804","5,296","5,584","6,147","5,802","6,527","5,371","7,145","5,180","7,685","4,176","10,482","4,618","11,738","5,204","4,676","3,733","2,914","2,216","2,338","2,029","1,694","1,814",585,"1,263",3,420,0,0,0,0,0,0,2020-07-03 13:43:21
2020-06,2호선,57,도림천,1,0,344,273,"1,036",881,"3,019","4,696","2,881","5,557","1,620","2,007","1,640","1,358","1,258","1,084","2,101","1,495","1,466",936,"2,051","1,482","2,535","1,250","2,272","1,530","2,913","1,745","3,379","2,672","1,936","2,332",859,"1,337",678,"1,302",327,"1,061",175,727,3,70,1,0,0,0,0,0,2020-07-03 13:43:21
