"행정구역","2020년06월_계_총인구수","2020년06월_계_연령구간인구수","2020년06월_계_0~9세","2020년06월_계_10~19세","2020년06월_계_20~29세","2020년06월_계_30~39세","2020년06월_계_40~49세","2020년06월_계_50~59세","2020년06월_계_60~69세","2020년06월_계_70~79세","2020년06월_계_80~89세","2020년06월_계_90~99세","2020년06월_계_100세 이상"
"서울특별시 성북구 정릉제1동(1129062000)","18,932","18,932","1,506","1,846","2,335","2,750","3,335","2,884","2,179","1,412","595","78","12"
"서울특별시 성북구 정릉제2동(1129063000)","23,526","23,526","1,563","1,945","3,215","3,160","3,679","3,770","3,280","1,989","795","112","18"
"서울특별시 성북구 정릉제3동(1129064000)","15,654","15,654","696","1,058","3,089","1,932","2,035","2,377","2,170","1,499","673","115","10"
"서울특별시 성북구 정릉제4동(1129065000)","25,946","25,946","1,819","2,252","3,273","3,454","4,302","4,186","3,519","2,171","828","119","23"
"서울특별시 성북구 길음제1동(1129066000)","36,603","36,603","4,156","4,878","3,484","4,964","8,003","4,875","3,220","2,086","795","117","25"
"서울특별시 성북구 길음제2동(1129068500)","17,156","17,156","1,510","1,427","2,170","2,573","3,004","2,735","2,074","1,147","439","58","19"
"서울특별시 성북구 종암동(1129070500)","40,013","40,013","2,822","3,805","5,834","5,333","6,603","6,357","4,632","2,932","1,420","234","41"
"서울특별시 성북구 월곡제1동(1129071500)","27,107","27,107","2,191","2,660","3,073","3,629","4,703","4,287","3,497","2,144","804","93","26"
"서울특별시 성북구 월곡제2동(1129072500)","20,130","20,130","1,167","1,542","3,600","2,815","2,925","3,057","2,620","1,617","682","94","11"
"서울특별시 성북구 장위제1동(1129076000)","20,352","20,352","998","1,639","3,023","2,452","2,955","3,886","2,959","1,663","680","83","14"
"서울특별시 성북구 장위제2동(1129077000)","14,036","14,036","607","962","1,927","1,702","2,028","2,530","2,184","1,442","549","78","27"
"서울특별시 성북구 장위제3동(1129078000)","17,951","17,951","1,801","1,498","2,336","2,917","2,817","2,839","2,129","1,160","387","54","13"
"서울특별시 성북구 석관동(1129081000)","35,799","35,799","2,060","2,351","5,306","5,055","5,278","6,062","5,159","3,221","1,162","129","16"
"서울특별시 강북구 (1130500000)","311,773","311,773","16,688","22,772","43,321","39,819","48,072","53,257","45,085","29,939","11,113","1,463","244"
"서울특별시 강북구 삼양동(1130553400)","24,993","24,993","1,388","2,058","3,188","3,075","3,847","4,467","3,738","2,254","814","134","30"
"서울특별시 강북구 미아동(1130553500)","22,287","22,287","861","1,397","3,785","2,951","3,161","3,873","3,279","2,073","797","101","9"
"서울특별시 강북구 송중동(1130554500)","30,673","30,673","1,614","2,128","4,302","4,252","4,757","5,234","4,472","2,797","968","120","29"
"서울특별시 강북구 송천동(1130555500)","27,844","27,844","1,187","1,727","3,739","3,389","4,061","5,135","4,524","2,862","1,059","137","24"
"서울특별시 강북구 삼각산동(1130557500)","32,419","32,419","3,134","4,077","3,447","3,956","6,723","4,941","3,258","1,992","770","96","25"
"서울특별시 강북구 번1동(1130559500)","19,278","19,278","750","1,147","3,362","2,901","2,976","3,164","2,544","1,749","598","79","8"
"서울특별시 강북구 번2동(1130560300)","16,740","16,740","755","1,146","2,160","1,912","2,535","2,862","2,656","1,969","667","72","6"
"서울특별시 강북구 번3동(1130560800)","17,850","17,850","1,029","1,397","2,033","1,823","2,753","2,834","2,664","2,510","708","90","9"
"서울특별시 강북구 수유1동(1130561500)","21,370","21,370","1,095","1,384","3,102","2,823","3,064","3,706","3,243","2,004","803","109","37"
"서울특별시 강북구 수유2동(1130562500)","21,651","21,651","1,124","1,479","3,075","2,554","3,173","3,820","3,217","2,161","924","119","5"
"서울특별시 강북구 수유3동(1130563500)","23,665","23,665","888","1,169","4,279","3,495","3,337","4,078","3,340","2,171","800","94","14"
"서울특별시 강북구 우이동(1130564500)","21,068","21,068","1,151","1,439","2,684","2,646","3,085","3,602","3,228","2,169","902","131","31"
"서울특별시 강북구 인수동(1130566000)","31,935","31,935","1,712","2,224","4,165","4,042","4,600","5,541","4,922","3,228","1,303","181","17"
"서울특별시 도봉구 (1132000000)","329,560","329,560","19,722","26,525","44,403","42,124","49,719","57,772","48,708","27,527","11,260","1,628","172"
"서울특별시 도봉구 창제1동(1132051100)","25,686","25,686","1,625","2,264","3,407","3,514","4,238","4,239","3,438","1,991","850","112","8"
"서울특별시 도봉구 창제2동(1132051200)","29,988","29,988","1,931","2,360","4,178","4,310","4,678","5,203","4,031","2,285","916","94","2"
"서울특별시 도봉구 창제3동(1132051300)","14,492","14,492","843","1,113","1,882","1,760","2,197","2,668","2,076","1,369","514","60","10"
"서울특별시 도봉구 창제4동(1132051400)","27,540","27,540","1,860","2,719","3,842","3,466","4,524","4,975","3,396","1,736","875","136","11"
"서울특별시 도봉구 창제5동(1132051500)","25,399","25,399","1,602","2,054","3,724","3,604","3,664","4,497","3,567","1,761","786","128","12"
"서울특별시 도봉구 도봉제1동(1132052100)","21,817","21,817","917","1,261","2,683","2,433","3,037","3,851","3,857","2,662","983","116","17"
"서울특별시 도봉구 도봉제2동(1132052200)","28,261","28,261","1,714","1,799","3,478","3,756","3,915","4,592","4,866","2,824","1,117","173","27"
"서울특별시 도봉구 쌍문제1동(1132066000)","22,003","22,003","1,254","1,699","3,111","2,659","3,327","3,724","3,254","2,053","795","109","18"
"서울특별시 도봉구 쌍문제2동(1132067000)","19,584","19,584","1,110","1,476","2,601","2,689","2,862","3,345","2,998","1,654","720","113","16"
"서울특별시 도봉구 쌍문제3동(1132068000)","16,958","16,958","868","1,044","2,585","2,424","2,481","2,856","2,420","1,617","579","76","8"
"서울특별시 도봉구 쌍문제4동(1132068100)","19,541","19,541","1,295","2,094","2,613","2,412","3,091","3,495","2,709","1,178","548","102","4"
"서울특별시 도봉구 방학제1동(1132069000)","29,393","29,393","1,624","2,297","4,023","3,455","4,331","5,511","4,527","2,582","890","142","11"
"서울특별시 도봉구 방학제2동(1132070000)","20,642","20,642","1,022","1,519","2,778","2,351","3,030","3,852","3,298","1,932","731","111","18"
"서울특별시 도봉구 방학제3동(1132071000)","28,256","28,256","2,057","2,826","3,498","3,291","4,344","4,964","4,271","1,883","956","156","10"
"서울특별시 노원구 (1135000000)","528,887","528,887","34,803","54,845","73,904","66,407","88,202","88,369","66,496","37,196","15,997","2,396","272"
"서울특별시 노원구 월계1동(1135056000)","22,950","22,950","1,293","1,811","3,886","2,862","3,511","3,647","3,123","1,980","712","110","15"
"서울특별시 노원구 월계2동(1135057000)","27,877","27,877","1,862","2,259","3,297","3,439","4,426","4,624","4,372","2,458","977","147","16"
"서울특별시 노원구 월계3동(1135058000)","31,032","31,032","2,375","2,243","3,662","4,805","4,751","4,880","4,505","2,595","1,059","142","15"
"서울특별시 노원구 공릉1동(1135059500)","38,082","38,082","2,240","2,834","6,796","5,542","5,565","5,888","5,335","2,699","1,014","153","16"
"서울특별시 노원구 공릉2동(1135060000)","40,015","40,015","3,002","4,588","6,657","5,299","6,753","6,103","4,307","2,234","915","143","14"
"서울특별시 노원구 하계1동(1135061100)","27,907","27,907","1,251","3,345","4,833","2,789","4,376","5,002","3,450","1,819","905","131","6"
"서울특별시 노원구 하계2동(1135061200)","23,002","23,002","1,601","2,893","3,195","2,618","4,167","3,988","2,429","1,341","674","92","4"
"서울특별시 노원구 중계본동(1135061900)","25,387","25,387","1,652","4,519","3,365","1,986","5,220","4,618","2,269","1,118","539","87","14"
"서울특별시 노원구 중계1동(1135062100)","27,671","27,671","2,031","5,833","3,000","2,061","6,743","4,472","1,994","982","482","60","13"
"서울특별시 노원구 중계4동(1135062400)","20,945","20,945","1,223","2,416","2,641","2,043","3,626","3,643","2,608","1,879","744","109","13"
"서울특별시 노원구 중계2.3동(1135062500)","36,023","36,023","2,235","3,339","4,420","4,441","6,069","5,715","4,784","3,294","1,495","216","15"
"서울특별시 노원구 상계1동(1135063000)","39,598","39,598","2,509","3,443","5,465","5,042","5,852","7,131","5,801","2,882","1,217","208","48"
"서울특별시 노원구 상계2동(1135064000)","20,831","20,831","1,048","1,960","3,338","2,393","3,228","3,977","2,794","1,438","556","88","11"
"서울특별시 노원구 상계3.4동(1135066500)","27,343","27,343","1,489","2,186","3,285","3,045","4,095","4,890","4,246","2,780","1,163","136","28"
"서울특별시 노원구 상계5동(1135067000)","24,893","24,893","1,175","2,144","3,470","2,728","3,809","4,556","3,613","2,303","924","143","28"
"서울특별시 노원구 상계6.7동(1135069500)","34,004","34,004","2,672","3,162","4,723","5,011","5,758","5,643","3,883","1,983","985","179","5"
"서울특별시 노원구 상계8동(1135070000)","23,455","23,455","2,599","2,190","2,725","4,890","4,009","3,054","2,209","1,167","529","79","4"
"서울특별시 노원구 상계9동(1135071000)","21,530","21,530","1,518","2,247","2,742","2,898","3,661","3,629","2,726","1,359","646","101","3"
"서울특별시 노원구 상계10동(1135072000)","16,342","16,342","1,028","1,433","2,404","2,515","2,583","2,909","2,048","885","461","72","4"
"서울특별시 은평구 (1138000000)","479,524","479,524","30,772","39,501","66,477","69,113","77,391","77,074","62,685","38,790","15,235","2,072","414"
"서울특별시 은평구 녹번동(1138051000)","37,680","37,680","2,601","2,440","5,066","6,183","5,856","5,962","4,979","3,178","1,215","177","23"
"서울특별시 은평구 불광제1동(1138052000)","40,123","40,123","2,518","2,772","5,462","5,583","6,235","6,781","5,482","3,531","1,532","194","33"
"서울특별시 은평구 불광제2동(1138053000)","28,764","28,764","1,232","1,916","4,340","3,969","4,108","5,003","4,281","2,749","1,024","130","12"
"서울특별시 은평구 갈현제1동(1138055100)","23,720","23,720","1,058","1,725","3,802","3,204","3,502","4,053","3,425","2,141","691","105","14"
"서울특별시 은평구 갈현제2동(1138055200)","29,334","29,334","1,715","2,527","4,422","4,093","4,804","4,855","3,640","2,266","878","115","19"
"서울특별시 은평구 구산동(1138056000)","33,182","33,182","1,953","2,918","4,474","4,241","5,267","5,708","4,563","2,769","1,107","162","20"
"서울특별시 은평구 대조동(1138057000)","27,368","27,368","1,251","1,758","4,740","4,268","4,209","4,191","3,502","2,364","953","110","22"
